communityn,detailaddr,area_id,districtna,zone_numbe,buildyear,carparkcou,buildingar,plotratio,pmfee,developer,greeningra,totalhouse,totalbuild,standard_p,specialpri,residentia,longitude,latitude
龙博苑一区,北京市昌平区黄土东村路龙博苑一区,13,昌平区,110114,2004,400,67802.27,1.25,0.65,北京天鸿房地产开发有限责任公司,38,841,11,50039, ,住宅,116.3310614,40.06784374
瑞海家园三区,北京市大兴区宏旭路瑞海家园三区,14,大兴区,110115,2004,400,101314.53,1.32,0.63,北京市鸿坤伟业房地产开发有限公司,40,1008,18,40860, ,住宅,116.3258906,39.78225384
龙禧苑五区,北京市昌平区育知东路龙禧苑五区,13,昌平区,110114,2002,220,127566.38,3.66,0.65,北京天鸿房地产开发有限责任公司,30,444,8,52036, ,住宅,116.32864,40.07990171
柏林山水别墅,北京市密云区阳光街柏林山水别墅,18,密云区,110118,2006,211,163575.8,2.11,1.5,北京明日房地产开发有限公司,30,972,49,25547,其他,别墅,116.8616186,40.36949777
八角北路11号院,北京市石景山区八角北路11号院,7,石景山区,110107,1991,200,23655.42,1.34,0.56,北京首钢房地产开发有限公司,30,420,5,52012, ,住宅,116.197611,39.91607346
芳园南里西区,北京市朝阳区将台西路芳园南里西区,5,朝阳区,110105,1998,138,33628.13,1.6,0.88,北京军建利司达房地产开发有限公司,20,768,8,61354, ,住宅,116.4756556,39.96895455
西果园1期,北京市通州区杨庄路63号西果园1期,11,通州区,110112,1998, ,21360.85,1.6,0.6,北京开原房地产开发有限公司,30,426,6,45655, ,住宅,116.6251254,39.90095177
佳莲小区,北京市昌平区北环路中山路21号佳莲小区,13,昌平区,110114,2000,239,11786.91,1.5,1.1,北京佳莲伟业房地产开发有限公司,30,245,3,38502, ,住宅,116.235116,40.22782797
肿瘤医院宿舍,北京市昌平区中陈路肿瘤医院宿舍,13,昌平区,110114,1996,21,15421.95,2.5,0,肿瘤医院,31,270,5,48656, ,住宅,116.3994577,40.04699469
草桥欣园一区,北京市丰台区镇国寺北街草桥欣园一区,6,丰台区,110106,2004,550,148652.33,2,2,北京华野房地产开发有限公司,24,1146,7,67376, ,住宅,116.35028,39.84550323
顺义港馨东区,北京市顺义区顺福路顺义港馨东区,12,顺义区,110113,2007,2151,201751.04,1.2,0.62,北京仁和日升房地产有限公司,26,2389,32,35181, ,住宅,116.6860867,40.10342137
合景香悦四季三区,北京市顺义区顺兴街9号合景香悦四季三区,12,顺义区,110113,2012,876,397163.29,3.5,2.5,北京合景房地产开发有限公司, ,968,23,45417, ,住宅,116.6504594,40.17942252
下坡屯家园二区,北京市顺义区史家口路下坡屯家园二区,12,顺义区,110113,2012,480,96024.22,2.1,2.5,北京顺鑫佳宇房地产开发有限公司,30,534,8,28987, ,住宅,116.6669882,40.21854766
煤炭公司住宅楼,北京市顺义区顺于路煤炭公司住宅楼,12,顺义区,110113,2000,151,21623.42,3.1,0.5,无,30,168,2,40008, ,住宅,116.6382052,40.12835736
后街花园,北京市顺义区双裕北街26号后街花园,12,顺义区,110113,2011,115,14153.2,1.7,4,北京裕鑫房地产开发有限公司,30,132,3,45465, ,住宅,116.5334567,40.1059102
众美城,北京市大兴区隆丰大街1号众美城,14,大兴区,110115,2014,604,124389.62,3.05,2.4,北京众美房地产开发有限公司,30,624,11,33815, ,住宅,116.3166367,39.63106461
新风南里,北京市西城区新风街新风南里,4,西城区,110102,1977,800,110856.68,2,0.5,北京市第五建筑工程公司,30,1449,13,136790, ,住宅,116.3707496,39.95912099
新苑街1号院,北京市海淀区新苑街1号院,8,海淀区,110108,1982,18,4430.87,1,0.5,房管所,30,126,1,103276, ,住宅,116.3264483,39.93526605
富国里,北京市西城区富国街富国里,4,西城区,110102,1996,100,144823.83,3,1,西城区房屋管理局,25,1357,16,130076, ,住宅,116.3594483,39.92840945
德胜置业,北京市西城区黄寺大街26号德胜置业,4,西城区,110102,2005,607,87858.77,5.21,4, 北京九台物业发展有限责任公司,30,170,4,70224, ,住宅,116.3761591,39.96029332
幸福一村西里,北京市朝阳区体育馆北路幸福一村西里,5,朝阳区,110105,1958, ,73817.15,3,1.36,北京天鸿房地产开发有限责任公司,30,396,5,85313, ,住宅,116.4407614,39.9338406
东土城路13号院,北京市朝阳区东土城路13号院,5,朝阳区,110105,1993, ,11470.25,1,1.2,暂无,30,400,4,67798, ,住宅,116.4255459,39.95045794
新村二里,北京市丰台区丰台南路新村二里,6,丰台区,110106,1960, ,149838.02,3,0.6,北京万亨房地产公司,30,916,20,54058, ,住宅,116.3006203,39.84052251
西引力,北京市石景山区京原路甲5号西引力,7,石景山区,110107,2005,600,41358.02,3.81,1.95,北京蓝德汇丰房地产开发有限公司,31,1280,3,55314, ,住宅,116.203416,39.90083032
天翔社区,北京市石景山区古城北路15号天翔社区,7,石景山区,110107,1999, ,221087.03,3.2,1.2,北京首钢房地产开发有限公司,10,468,3,46791, ,住宅,116.1824628,39.91665384
金福苑,北京市石景山区金顶山路168号金福苑,7,石景山区,110107,1995,200,53499.5,1.3,0.76,北京金隅嘉业房地产开发公司,30,1007,9,42971, ,住宅,116.1642724,39.93042072
广宁村小区,北京市石景山区复兴街广宁村小区,7,石景山区,110107,1989,136,109408.45,3.2,0.2,北京广宁设区总工会,36,852,14,42306, ,住宅,116.1380761,39.92813708
角门北路11号院,北京市丰台区角门北路11号院,6,丰台区,110106,2000,240,34697.71,1.2,0.8,"北京奇然房地产开发有限公司								",35,656,6,61013, ,住宅,116.3722727,39.84979211
北大地四里,北京市丰台区文体路北大地四里,6,丰台区,110106,1980,86,54680.94,2.77,0.5,北京市京山房地产开发公司,31,445,12,58775, ,住宅,116.2773912,39.85647541
玺萌苑,北京市丰台区北甲地路10号玺萌苑,6,丰台区,110106,2003,100,45783.09,3,0.45,北京玺萌置业有限公司,31.5,224,2,52201, ,住宅,116.3577472,39.84396316
